0;path;file;Fd kHz;Fg kHz;Start;End;cnt;Source name;Section
210;..\RRLPy_data\d2006_05\d_5_5_25M.001;d_5_5_25M.001;3180;;;;;;
211;..\RRLPy_data\d2006_05\d_5_6_25M.002;d_5_6_25M.002;3180;;;;;;
212;..\RRLPy_data\d2006_05\d_5_6_30M.001;d_5_6_30M.001;3180;;;;;;
213;..\RRLPy_data\d2006_05\d_5_7_30M.001;d_5_7_30M.001;3180;;;;;;
214;..\RRLPy_data\d2006_05\d_5_8_25M.001;d_5_8_25M.001;3180;;;;;;
215;..\RRLPy_data\d2006_05\d_5_9_25M.001;d_5_9_25M.001;3180;;;;;;
216;..\RRLPy_data\d2006_05\d_4_28_25M.001;d_4_28_25M.001;3180;;;;;;
217;..\RRLPy_data\d2006_05\d_4_28_25M.002;d_4_28_25M.002;3180;;;;;;
218;..\RRLPy_data\d2006_05\d_4_29_25M.002;d_4_29_25M.002;3180;;;;;;
219;..\RRLPy_data\d2006_05\d_4_29_25M.003;d_4_29_25M.003;3180;;;;;;
220;..\RRLPy_data\d2006_05\d_4_29_30M.001;d_4_29_30M.001;3180;;;;;;
221;..\RRLPy_data\d2006_05\d_4_30_25M.002;d_4_30_25M.002;3180;;;;;;
222;..\RRLPy_data\d2006_05\d_4_30_25M.003;d_4_30_25M.003;3180;;;;;;
223;..\RRLPy_data\d2006_05\d_4_30_30M.001;d_4_30_30M.001;3180;;;;;;
224;..\RRLPy_data\d2006_06\d_6_2_25M.001;d_6_2_25M.001;3180;;;;;;
225;..\RRLPy_data\d2006_06\d_6_2_25M.002;d_6_2_25M.002;3180;;;;;;
226;..\RRLPy_data\d2006_06\d_6_3_25M.001;d_6_3_25M.001;3180;;;;;;
227;..\RRLPy_data\d2006_06\d_6_3_30M.002;d_6_3_30M.002;3180;;;;;;
228;..\RRLPy_data\d2006_06\d_6_4_30M.001;d_6_4_30M.001;3180;;;;;;
229;..\RRLPy_data\d2006_07\d_7_14_25M.001;d_7_14_25M.001;3180;;;;;;
230;..\RRLPy_data\d2006_07\d_7_15_25M.001;d_7_15_25M.001;3180;;;;;;
231;..\RRLPy_data\d2006_07\d_7_15_25M.002;d_7_15_25M.002;3180;;;;;;
232;..\RRLPy_data\d2006_07\d_7_16_25M.001;d_7_16_25M.001;3180;;;;;;
233;..\RRLPy_data\d2006_07\d_7_17_25M.001;d_7_17_25M.001;3180;;;;;;
234;..\RRLPy_data\d2006_07\d_7_18_25M.001;d_7_18_25M.001;3180;;;;;;
235;..\RRLPy_data\d2006_07\d_7_19_25M.001;d_7_19_25M.001;3180;;;;;;
236;..\RRLPy_data\d2006_07\d_7_20_25M.001;d_7_20_25M.001;3180;;;;;;
237;..\RRLPy_data\d2006_07\d_7_22_25M.001;d_7_22_25M.001;3180;;;;;;
238;..\RRLPy_data\d2006_07\d_7_23_25M.001;d_7_23_25M.001;3180;;;;;;
239;..\RRLPy_data\d2006_07\d_7_24_25M.001;d_7_24_25M.001;3180;;;;;;
240;..\RRLPy_data\d2006_07\d_7_25_25M.001;d_7_25_25M.001;3180;;;;;;
241;..\RRLPy_data\d2006_07\d_7_26_25M.001;d_7_26_25M.001;3180;;;;;;
242;..\RRLPy_data\d2006_07\d_7_27_25M.001;d_7_27_25M.001;3180;;;;;;
243;..\RRLPy_data\d2006_10\d_10_30.001;d_10_30.001;3180;;;;;;
244;..\RRLPy_data\d2006_10\d_10_31.001;d_10_31.001;3180;;;;;;
245;..\RRLPy_data\d2006_11\d_11_1.001;d_11_1.001;3180;;;;;;
246;..\RRLPy_data\d2006_11\d_11_1.002;d_11_1.002;3180;;;;;;
247;..\RRLPy_data\d2006_11\d_11_2.001;d_11_2.001;3180;;;;;;
248;..\RRLPy_data\d2006_11\d_11_2.002;d_11_2.002;3180;;;;;;
249;..\RRLPy_data\d2006_11\d_11_3.001;d_11_3.001;3180;;;;;;
250;..\RRLPy_data\d2006_11\d_11_3.002;d_11_3.002;3180;;;;;;
251;..\RRLPy_data\d2006_11\d_11_4.001;d_11_4.001;3180;;;;;;
252;..\RRLPy_data\d2006_11\d_11_5.001;d_11_5.001;3180;;;;;;
253;..\RRLPy_data\d2006_11\d_11_5.002;d_11_5.002;3180;;;;;;
254;..\RRLPy_data\d2006_11\d_11_6.001;d_11_6.001;3180;;;;;;
255;..\RRLPy_data\d2006_12\d_12_29.001;d_12_29.001;3180;;;;;;
256;..\RRLPy_data\d2006_12\d_12_29.002;d_12_29.002;3180;;;;;;
257;..\RRLPy_data\d2006_12\d_12_29.003;d_12_29.003;3180;;;;;;
258;..\RRLPy_data\d2006_12\d_12_29.004;d_12_29.004;3180;;;;;;
259;..\RRLPy_data\d2006_12\d_12_30.001;d_12_30.001;3180;;;;;;
260;..\RRLPy_data\d2006_12\d_12_30.002;d_12_30.002;3180;;;;;;
261;..\RRLPy_data\d2006_12\d_12_30.003;d_12_30.003;3180;;;;;;
262;..\RRLPy_data\d2006_12\d_12_30.004;d_12_30.004;3180;;;;;;
263;..\RRLPy_data\d2006_12\d_12_30.005;d_12_30.005;3180;;;;;;
264;..\RRLPy_data\d2006_12\d_12_30.006;d_12_30.006;3180;;;;;;
